Pavarde     Vardas     Galutinis-vidurkis  Galutinis-mediana  Kategorija  
Pavarde66   Vardas66   3.16                3.00               vargsiukas  
Pavarde67   Vardas67   5.00                5.00               kietiakas   
Pavarde68   Vardas68   4.56                4.40               vargsiukas  
Pavarde69   Vardas69   5.76                6.00               kietiakas   
Pavarde7    Vardas7    5.84                5.60               kietiakas   
Pavarde70   Vardas70   5.20                5.20               kietiakas   
Pavarde71   Vardas71   7.12                6.80               kietiakas   
Pavarde72   Vardas72   5.20                4.80               kietiakas   
Pavarde73   Vardas73   4.76                4.60               vargsiukas  
Pavarde74   Vardas74   1.96                1.40               vargsiukas  
Pavarde75   Vardas75   3.68                4.00               vargsiukas  
Pavarde76   Vardas76   6.48                6.00               kietiakas   
Pavarde77   Vardas77   3.32                3.40               vargsiukas  
Pavarde78   Vardas78   5.04                4.80               kietiakas   
Pavarde79   Vardas79   4.76                4.60               vargsiukas  
Pavarde8    Vardas8    4.52                4.60               vargsiukas  
Pavarde80   Vardas80   5.84                6.00               kietiakas   
Pavarde81   Vardas81   4.76                5.00               vargsiukas  
Pavarde82   Vardas82   5.60                5.60               kietiakas   
Pavarde83   Vardas83   2.84                3.00               vargsiukas  
Pavarde84   Vardas84   5.20                4.40               kietiakas   
Pavarde85   Vardas85   6.16                5.60               kietiakas   
Pavarde86   Vardas86   9.20                9.60               kietiakas   
Pavarde87   Vardas87   3.92                4.00               vargsiukas  
Pavarde88   Vardas88   4.80                5.20               vargsiukas  
Pavarde89   Vardas89   3.32                4.20               vargsiukas  
Pavarde9    Vardas9    3.76                4.00               vargsiukas  
Pavarde90   Vardas90   5.92                6.40               kietiakas   
Pavarde91   Vardas91   5.76                6.00               kietiakas   
Pavarde92   Vardas92   6.88                6.80               kietiakas   
Pavarde93   Vardas93   7.72                8.20               kietiakas   
Pavarde94   Vardas94   3.12                3.20               vargsiukas  
Pavarde95   Vardas95   5.72                5.80               kietiakas   
Pavarde96   Vardas96   4.28                4.60               vargsiukas  
Pavarde97   Vardas97   2.48                2.40               vargsiukas  
Pavarde98   Vardas98   7.00                6.20               kietiakas   
Pavarde99   Vardas99   2.96                2.40               vargsiukas  
