Pavarde      Vardas      Galutinis-vidurkis  Galutinis-mediana  Kategorija  
Pavarde184   Vardas184   4.56                4.80               vargsiukas  
Pavarde185   Vardas185   3.36                3.20               vargsiukas  
Pavarde186   Vardas186   5.76                6.00               kietiakas   
Pavarde187   Vardas187   4.76                4.60               vargsiukas  
Pavarde188   Vardas188   4.24                4.80               vargsiukas  
Pavarde189   Vardas189   6.08                6.00               kietiakas   
Pavarde19    Vardas19    1.96                1.80               vargsiukas  
Pavarde190   Vardas190   6.28                5.80               kietiakas   
Pavarde191   Vardas191   3.48                3.40               vargsiukas  
Pavarde192   Vardas192   2.76                2.60               vargsiukas  
Pavarde193   Vardas193   4.56                4.40               vargsiukas  
Pavarde194   Vardas194   4.64                4.00               vargsiukas  
Pavarde195   Vardas195   8.88                10.00              kietiakas   
Pavarde196   Vardas196   4.08                3.20               vargsiukas  
Pavarde197   Vardas197   6.88                7.20               kietiakas   
Pavarde198   Vardas198   2.68                3.00               vargsiukas  
Pavarde199   Vardas199   3.88                3.80               vargsiukas  
Pavarde2     Vardas2     3.36                3.20               vargsiukas  
Pavarde20    Vardas20    5.48                5.40               kietiakas   
Pavarde200   Vardas200   3.92                4.80               vargsiukas  
Pavarde201   Vardas201   6.48                6.40               kietiakas   
Pavarde202   Vardas202   5.28                4.40               kietiakas   
Pavarde203   Vardas203   4.56                4.40               vargsiukas  
Pavarde204   Vardas204   7.84                7.60               kietiakas   
Pavarde205   Vardas205   7.76                7.60               kietiakas   
Pavarde206   Vardas206   6.76                6.20               kietiakas   
Pavarde207   Vardas207   5.68                5.20               kietiakas   
Pavarde208   Vardas208   4.00                3.60               vargsiukas  
Pavarde209   Vardas209   4.72                4.80               vargsiukas  
Pavarde21    Vardas21    7.88                8.20               kietiakas   
Pavarde210   Vardas210   5.44                5.20               kietiakas   
Pavarde211   Vardas211   3.84                4.00               vargsiukas  
Pavarde212   Vardas212   6.76                6.60               kietiakas   
Pavarde213   Vardas213   7.68                7.20               kietiakas   
Pavarde214   Vardas214   4.40                4.00               vargsiukas  
Pavarde215   Vardas215   7.52                7.60               kietiakas   
Pavarde216   Vardas216   7.12                6.80               kietiakas   
Pavarde217   Vardas217   7.72                7.40               kietiakas   
Pavarde218   Vardas218   6.00                5.20               kietiakas   
Pavarde219   Vardas219   4.72                5.20               vargsiukas  
Pavarde22    Vardas22    7.36                6.40               kietiakas   
Pavarde220   Vardas220   7.68                7.20               kietiakas   
Pavarde221   Vardas221   3.52                3.60               vargsiukas  
Pavarde222   Vardas222   6.24                6.00               kietiakas   
Pavarde223   Vardas223   3.48                3.40               vargsiukas  
Pavarde224   Vardas224   7.60                7.60               kietiakas   
Pavarde225   Vardas225   7.92                7.20               kietiakas   
Pavarde226   Vardas226   5.72                5.80               kietiakas   
Pavarde227   Vardas227   3.92                3.60               vargsiukas  
Pavarde228   Vardas228   3.60                3.60               vargsiukas  
Pavarde229   Vardas229   6.96                6.40               kietiakas   
Pavarde23    Vardas23    5.68                5.60               kietiakas   
Pavarde230   Vardas230   6.84                6.60               kietiakas   
Pavarde231   Vardas231   7.60                7.20               kietiakas   
Pavarde232   Vardas232   5.80                6.20               kietiakas   
Pavarde233   Vardas233   5.88                6.20               kietiakas   
Pavarde234   Vardas234   4.00                3.60               vargsiukas  
Pavarde235   Vardas235   4.08                3.60               vargsiukas  
Pavarde236   Vardas236   3.96                3.80               vargsiukas  
Pavarde237   Vardas237   6.80                6.80               kietiakas   
Pavarde238   Vardas238   8.48                8.80               kietiakas   
Pavarde239   Vardas239   4.40                4.00               vargsiukas  
Pavarde24    Vardas24    4.36                4.20               vargsiukas  
Pavarde240   Vardas240   5.28                5.60               kietiakas   
Pavarde241   Vardas241   6.24                6.40               kietiakas   
Pavarde242   Vardas242   3.88                4.20               vargsiukas  
Pavarde243   Vardas243   8.80                9.20               kietiakas   
Pavarde244   Vardas244   3.92                3.20               vargsiukas  
Pavarde245   Vardas245   3.52                2.80               vargsiukas  
Pavarde246   Vardas246   7.72                8.20               kietiakas   
Pavarde247   Vardas247   2.60                2.20               vargsiukas  
Pavarde248   Vardas248   7.96                8.20               kietiakas   
Pavarde249   Vardas249   5.48                5.00               kietiakas   
Pavarde25    Vardas25    7.60                7.20               kietiakas   
Pavarde250   Vardas250   2.48                2.40               vargsiukas  
Pavarde251   Vardas251   3.88                4.20               vargsiukas  
Pavarde252   Vardas252   5.80                5.80               kietiakas   
Pavarde253   Vardas253   8.20                8.20               kietiakas   
Pavarde254   Vardas254   7.64                7.40               kietiakas   
Pavarde255   Vardas255   6.04                6.60               kietiakas   
Pavarde256   Vardas256   6.60                7.00               kietiakas   
Pavarde257   Vardas257   2.88                2.80               vargsiukas  
Pavarde258   Vardas258   4.84                5.00               vargsiukas  
Pavarde259   Vardas259   4.52                3.80               vargsiukas  
Pavarde26    Vardas26    7.88                8.20               kietiakas   
Pavarde260   Vardas260   3.96                3.80               vargsiukas  
Pavarde261   Vardas261   2.96                2.80               vargsiukas  
Pavarde262   Vardas262   2.92                3.00               vargsiukas  
Pavarde263   Vardas263   8.08                8.00               kietiakas   
Pavarde264   Vardas264   4.12                4.20               vargsiukas  
Pavarde265   Vardas265   2.96                3.20               vargsiukas  
Pavarde266   Vardas266   5.04                4.80               kietiakas   
Pavarde267   Vardas267   4.80                4.40               vargsiukas  
Pavarde268   Vardas268   5.64                5.00               kietiakas   
Pavarde269   Vardas269   4.04                4.20               vargsiukas  
Pavarde27    Vardas27    7.60                7.60               kietiakas   
Pavarde270   Vardas270   5.60                6.40               kietiakas   
Pavarde271   Vardas271   8.16                8.40               kietiakas   
Pavarde272   Vardas272   6.16                6.40               kietiakas   
Pavarde273   Vardas273   2.92                3.00               vargsiukas  
Pavarde274   Vardas274   6.92                7.80               kietiakas   
Pavarde275   Vardas275   7.16                7.00               kietiakas   
Pavarde276   Vardas276   6.36                6.60               kietiakas   
Pavarde277   Vardas277   3.56                3.40               vargsiukas  
Pavarde278   Vardas278   6.56                6.40               kietiakas   
Pavarde279   Vardas279   5.44                6.00               kietiakas   
Pavarde28    Vardas28    5.84                6.00               kietiakas   
Pavarde280   Vardas280   5.20                5.60               kietiakas   
Pavarde281   Vardas281   5.40                5.80               kietiakas   
Pavarde282   Vardas282   2.84                2.20               vargsiukas  
Pavarde283   Vardas283   3.92                3.60               vargsiukas  
Pavarde284   Vardas284   4.72                4.40               vargsiukas  
Pavarde285   Vardas285   4.20                3.80               vargsiukas  
Pavarde286   Vardas286   6.00                5.60               kietiakas   
Pavarde287   Vardas287   6.44                6.60               kietiakas   
Pavarde288   Vardas288   3.20                2.80               vargsiukas  
Pavarde289   Vardas289   5.36                5.60               kietiakas   
Pavarde29    Vardas29    4.04                3.40               vargsiukas  
Pavarde290   Vardas290   5.84                5.20               kietiakas   
Pavarde291   Vardas291   6.24                5.60               kietiakas   
Pavarde292   Vardas292   8.60                9.00               kietiakas   
Pavarde293   Vardas293   6.88                6.80               kietiakas   
Pavarde294   Vardas294   5.80                5.80               kietiakas   
Pavarde295   Vardas295   4.48                4.40               vargsiukas  
Pavarde296   Vardas296   3.68                4.40               vargsiukas  
Pavarde297   Vardas297   6.08                6.40               kietiakas   
Pavarde298   Vardas298   3.16                2.20               vargsiukas  
Pavarde299   Vardas299   6.72                7.20               kietiakas   
Pavarde3     Vardas3     6.96                7.20               kietiakas   
Pavarde30    Vardas30    3.92                4.00               vargsiukas  
Pavarde300   Vardas300   9.28                9.60               kietiakas   
Pavarde301   Vardas301   3.88                3.40               vargsiukas  
Pavarde302   Vardas302   3.80                3.80               vargsiukas  
Pavarde303   Vardas303   3.56                3.80               vargsiukas  
Pavarde304   Vardas304   3.00                2.60               vargsiukas  
Pavarde305   Vardas305   3.96                3.80               vargsiukas  
Pavarde306   Vardas306   6.92                6.60               kietiakas   
Pavarde307   Vardas307   4.84                4.60               vargsiukas  
Pavarde308   Vardas308   6.04                5.80               kietiakas   
Pavarde309   Vardas309   4.96                4.80               vargsiukas  
Pavarde31    Vardas31    4.88                4.40               vargsiukas  
Pavarde310   Vardas310   3.20                3.20               vargsiukas  
Pavarde311   Vardas311   7.56                7.80               kietiakas   
Pavarde312   Vardas312   3.52                3.20               vargsiukas  
Pavarde313   Vardas313   7.24                7.40               kietiakas   
Pavarde314   Vardas314   5.76                5.60               kietiakas   
Pavarde315   Vardas315   4.32                4.80               vargsiukas  
Pavarde316   Vardas316   3.48                3.00               vargsiukas  
Pavarde317   Vardas317   6.84                7.80               kietiakas   
Pavarde318   Vardas318   6.56                6.40               kietiakas   
Pavarde319   Vardas319   3.00                3.00               vargsiukas  
Pavarde32    Vardas32    5.96                6.20               kietiakas   
Pavarde320   Vardas320   2.88                3.20               vargsiukas  
Pavarde321   Vardas321   3.40                3.00               vargsiukas  
Pavarde322   Vardas322   6.28                6.20               kietiakas   
Pavarde323   Vardas323   4.68                4.60               vargsiukas  
Pavarde324   Vardas324   7.24                7.40               kietiakas   
Pavarde325   Vardas325   6.40                6.40               kietiakas   
Pavarde326   Vardas326   4.92                5.00               vargsiukas  
Pavarde327   Vardas327   5.96                5.80               kietiakas   
Pavarde328   Vardas328   5.92                5.60               kietiakas   
Pavarde329   Vardas329   3.52                3.60               vargsiukas  
Pavarde33    Vardas33    8.12                7.80               kietiakas   
Pavarde330   Vardas330   3.00                3.40               vargsiukas  
Pavarde331   Vardas331   8.12                8.60               kietiakas   
Pavarde332   Vardas332   5.08                5.00               kietiakas   
Pavarde333   Vardas333   8.88                9.20               kietiakas   
Pavarde334   Vardas334   7.64                7.40               kietiakas   
Pavarde335   Vardas335   4.68                4.60               vargsiukas  
Pavarde336   Vardas336   6.04                6.20               kietiakas   
Pavarde337   Vardas337   7.40                7.80               kietiakas   
Pavarde338   Vardas338   2.96                2.40               vargsiukas  
Pavarde339   Vardas339   3.08                3.40               vargsiukas  
Pavarde34    Vardas34    4.04                4.60               vargsiukas  
Pavarde340   Vardas340   3.32                3.40               vargsiukas  
Pavarde341   Vardas341   3.24                3.00               vargsiukas  
Pavarde342   Vardas342   3.08                2.60               vargsiukas  
Pavarde343   Vardas343   5.52                5.60               kietiakas   
Pavarde344   Vardas344   5.28                5.60               kietiakas   
Pavarde345   Vardas345   1.40                1.00               vargsiukas  
Pavarde346   Vardas346   7.80                7.80               kietiakas   
Pavarde347   Vardas347   2.92                3.00               vargsiukas  
Pavarde348   Vardas348   3.60                3.20               vargsiukas  
Pavarde349   Vardas349   7.12                6.80               kietiakas   
Pavarde35    Vardas35    4.12                4.20               vargsiukas  
Pavarde350   Vardas350   6.52                6.20               kietiakas   
Pavarde351   Vardas351   8.12                7.80               kietiakas   
Pavarde352   Vardas352   6.24                6.00               kietiakas   
Pavarde353   Vardas353   3.08                3.40               vargsiukas  
Pavarde354   Vardas354   3.52                3.60               vargsiukas  
Pavarde355   Vardas355   6.92                7.00               kietiakas   
Pavarde356   Vardas356   6.84                7.00               kietiakas   
Pavarde357   Vardas357   3.92                4.80               vargsiukas  
Pavarde358   Vardas358   6.28                5.80               kietiakas   
Pavarde359   Vardas359   7.52                7.60               kietiakas   
Pavarde36    Vardas36    3.60                3.60               vargsiukas  
Pavarde360   Vardas360   7.56                7.40               kietiakas   
Pavarde361   Vardas361   5.84                5.60               kietiakas   
Pavarde362   Vardas362   4.80                4.80               vargsiukas  
Pavarde363   Vardas363   6.16                6.40               kietiakas   
Pavarde364   Vardas364   5.84                6.00               kietiakas   
Pavarde365   Vardas365   6.08                6.40               kietiakas   
Pavarde366   Vardas366   4.12                3.80               vargsiukas  
Pavarde367   Vardas367   1.32                1.40               vargsiukas  
Pavarde368   Vardas368   3.08                3.00               vargsiukas  
Pavarde369   Vardas369   6.40                6.40               kietiakas   
Pavarde37    Vardas37    2.80                2.40               vargsiukas  
Pavarde370   Vardas370   7.44                6.80               kietiakas   
Pavarde371   Vardas371   4.76                5.00               vargsiukas  
Pavarde372   Vardas372   7.80                7.80               kietiakas   
Pavarde373   Vardas373   8.48                8.80               kietiakas   
Pavarde374   Vardas374   7.36                6.80               kietiakas   
Pavarde375   Vardas375   3.08                3.40               vargsiukas  
Pavarde376   Vardas376   5.72                5.80               kietiakas   
Pavarde377   Vardas377   3.80                4.20               vargsiukas  
Pavarde378   Vardas378   5.44                5.60               kietiakas   
Pavarde379   Vardas379   3.00                3.00               vargsiukas  
Pavarde38    Vardas38    4.68                4.60               vargsiukas  
Pavarde380   Vardas380   7.60                7.20               kietiakas   
Pavarde381   Vardas381   5.44                6.00               kietiakas   
Pavarde382   Vardas382   2.84                2.60               vargsiukas  
Pavarde383   Vardas383   4.52                3.80               vargsiukas  
Pavarde384   Vardas384   3.92                4.40               vargsiukas  
Pavarde385   Vardas385   3.68                4.00               vargsiukas  
Pavarde386   Vardas386   5.92                6.40               kietiakas   
Pavarde387   Vardas387   7.84                8.00               kietiakas   
Pavarde388   Vardas388   6.92                7.00               kietiakas   
Pavarde389   Vardas389   4.76                5.00               vargsiukas  
Pavarde39    Vardas39    6.08                6.00               kietiakas   
Pavarde390   Vardas390   3.32                3.80               vargsiukas  
Pavarde391   Vardas391   7.04                7.20               kietiakas   
Pavarde392   Vardas392   6.16                6.40               kietiakas   
Pavarde393   Vardas393   7.96                8.20               kietiakas   
Pavarde394   Vardas394   4.32                4.00               vargsiukas  
Pavarde395   Vardas395   2.52                2.20               vargsiukas  
Pavarde396   Vardas396   4.96                5.60               vargsiukas  
Pavarde397   Vardas397   8.88                8.80               kietiakas   
Pavarde398   Vardas398   7.60                7.60               kietiakas   
Pavarde399   Vardas399   2.12                1.80               vargsiukas  
Pavarde4     Vardas4     7.92                7.20               kietiakas   
Pavarde40    Vardas40    3.48                3.40               vargsiukas  
Pavarde400   Vardas400   7.60                8.00               kietiakas   
Pavarde401   Vardas401   7.88                8.20               kietiakas   
Pavarde402   Vardas402   5.24                5.40               kietiakas   
Pavarde403   Vardas403   6.00                6.40               kietiakas   
Pavarde404   Vardas404   2.80                2.40               vargsiukas  
Pavarde405   Vardas405   2.08                2.00               vargsiukas  
Pavarde406   Vardas406   6.28                6.20               kietiakas   
Pavarde407   Vardas407   4.52                3.80               vargsiukas  
Pavarde408   Vardas408   7.80                7.80               kietiakas   
Pavarde409   Vardas409   7.44                7.20               kietiakas   
Pavarde41    Vardas41    5.44                5.20               kietiakas   
Pavarde410   Vardas410   7.00                7.00               kietiakas   
Pavarde411   Vardas411   4.76                4.60               vargsiukas  
Pavarde412   Vardas412   6.40                6.00               kietiakas   
Pavarde413   Vardas413   5.28                5.60               kietiakas   
Pavarde414   Vardas414   5.80                5.80               kietiakas   
Pavarde415   Vardas415   9.04                9.20               kietiakas   
Pavarde416   Vardas416   6.44                6.20               kietiakas   
Pavarde417   Vardas417   1.48                1.40               vargsiukas  
Pavarde418   Vardas418   3.88                3.80               vargsiukas  
Pavarde419   Vardas419   8.80                9.20               kietiakas   
Pavarde42    Vardas42    7.52                7.20               kietiakas   
Pavarde420   Vardas420   4.88                5.20               vargsiukas  
Pavarde421   Vardas421   5.88                5.80               kietiakas   
Pavarde422   Vardas422   7.36                8.00               kietiakas   
Pavarde423   Vardas423   7.80                7.40               kietiakas   
Pavarde424   Vardas424   3.60                3.20               vargsiukas  
Pavarde425   Vardas425   2.68                2.60               vargsiukas  
Pavarde426   Vardas426   7.76                6.80               kietiakas   
Pavarde427   Vardas427   6.00                6.00               kietiakas   
Pavarde428   Vardas428   8.72                9.20               kietiakas   
Pavarde429   Vardas429   4.60                5.00               vargsiukas  
Pavarde43    Vardas43    7.20                7.20               kietiakas   
Pavarde430   Vardas430   5.04                4.80               kietiakas   
Pavarde431   Vardas431   6.28                6.20               kietiakas   
Pavarde432   Vardas432   3.68                3.60               vargsiukas  
Pavarde433   Vardas433   4.40                4.40               vargsiukas  
Pavarde434   Vardas434   6.48                6.00               kietiakas   
Pavarde435   Vardas435   4.96                5.20               vargsiukas  
Pavarde436   Vardas436   7.08                7.00               kietiakas   
Pavarde437   Vardas437   7.76                7.60               kietiakas   
Pavarde438   Vardas438   6.76                7.00               kietiakas   
Pavarde439   Vardas439   8.96                9.60               kietiakas   
Pavarde44    Vardas44    8.56                8.40               kietiakas   
Pavarde440   Vardas440   6.16                6.80               kietiakas   
Pavarde441   Vardas441   3.60                3.20               vargsiukas  
Pavarde442   Vardas442   4.56                4.40               vargsiukas  
Pavarde443   Vardas443   7.12                7.20               kietiakas   
Pavarde444   Vardas444   5.60                5.60               kietiakas   
Pavarde445   Vardas445   8.20                8.60               kietiakas   
Pavarde446   Vardas446   7.24                7.80               kietiakas   
Pavarde447   Vardas447   1.88                1.80               vargsiukas  
Pavarde448   Vardas448   3.92                4.00               vargsiukas  
Pavarde449   Vardas449   5.88                5.40               kietiakas   
Pavarde45    Vardas45    6.24                7.60               kietiakas   
Pavarde450   Vardas450   7.32                7.40               kietiakas   
Pavarde451   Vardas451   7.32                7.00               kietiakas   
Pavarde452   Vardas452   7.56                7.40               kietiakas   
Pavarde453   Vardas453   5.24                5.80               kietiakas   
Pavarde454   Vardas454   5.88                5.80               kietiakas   
Pavarde455   Vardas455   4.04                3.80               vargsiukas  
Pavarde456   Vardas456   5.28                5.60               kietiakas   
Pavarde457   Vardas457   2.04                1.80               vargsiukas  
Pavarde458   Vardas458   8.32                9.20               kietiakas   
Pavarde459   Vardas459   4.28                4.20               vargsiukas  
Pavarde46    Vardas46    3.20                3.20               vargsiukas  
Pavarde460   Vardas460   2.52                2.60               vargsiukas  
Pavarde461   Vardas461   4.04                4.20               vargsiukas  
Pavarde462   Vardas462   3.40                4.20               vargsiukas  
Pavarde463   Vardas463   4.96                4.40               vargsiukas  
Pavarde464   Vardas464   3.88                4.20               vargsiukas  
Pavarde465   Vardas465   4.04                3.80               vargsiukas  
Pavarde466   Vardas466   5.76                6.40               kietiakas   
Pavarde467   Vardas467   3.72                3.80               vargsiukas  
Pavarde468   Vardas468   2.44                2.20               vargsiukas  
Pavarde469   Vardas469   8.08                7.60               kietiakas   
Pavarde47    Vardas47    6.68                6.60               kietiakas   
Pavarde470   Vardas470   6.92                6.60               kietiakas   
Pavarde471   Vardas471   8.20                9.00               kietiakas   
Pavarde472   Vardas472   8.56                8.80               kietiakas   
Pavarde473   Vardas473   6.76                7.00               kietiakas   
Pavarde474   Vardas474   3.08                3.00               vargsiukas  
Pavarde475   Vardas475   8.96                8.80               kietiakas   
Pavarde476   Vardas476   4.80                4.80               vargsiukas  
Pavarde477   Vardas477   7.32                7.40               kietiakas   
Pavarde478   Vardas478   5.08                5.00               kietiakas   
Pavarde479   Vardas479   5.44                4.40               kietiakas   
Pavarde48    Vardas48    3.84                3.60               vargsiukas  
Pavarde480   Vardas480   5.20                6.00               kietiakas   
Pavarde481   Vardas481   4.84                5.00               vargsiukas  
Pavarde482   Vardas482   4.80                4.80               vargsiukas  
Pavarde483   Vardas483   6.04                5.40               kietiakas   
Pavarde484   Vardas484   8.12                9.00               kietiakas   
Pavarde485   Vardas485   5.48                5.40               kietiakas   
Pavarde486   Vardas486   4.52                5.00               vargsiukas  
Pavarde487   Vardas487   2.44                2.20               vargsiukas  
Pavarde488   Vardas488   7.76                8.00               kietiakas   
Pavarde489   Vardas489   7.56                7.80               kietiakas   
Pavarde49    Vardas49    6.20                6.20               kietiakas   
Pavarde490   Vardas490   8.64                8.80               kietiakas   
Pavarde491   Vardas491   4.40                4.80               vargsiukas  
Pavarde492   Vardas492   6.16                5.60               kietiakas   
Pavarde493   Vardas493   5.44                4.80               kietiakas   
Pavarde494   Vardas494   4.16                4.40               vargsiukas  
Pavarde495   Vardas495   8.12                8.20               kietiakas   
Pavarde496   Vardas496   3.48                3.40               vargsiukas  
Pavarde497   Vardas497   4.20                5.00               vargsiukas  
Pavarde498   Vardas498   5.40                5.80               kietiakas   
Pavarde499   Vardas499   8.40                8.80               kietiakas   
Pavarde5     Vardas5     1.80                1.00               vargsiukas  
Pavarde50    Vardas50    7.28                7.60               kietiakas   
Pavarde500   Vardas500   7.68                8.00               kietiakas   
Pavarde501   Vardas501   6.76                7.00               kietiakas   
Pavarde502   Vardas502   7.44                7.60               kietiakas   
Pavarde503   Vardas503   3.32                3.00               vargsiukas  
Pavarde504   Vardas504   5.56                5.40               kietiakas   
Pavarde505   Vardas505   7.80                7.80               kietiakas   
Pavarde506   Vardas506   3.16                3.40               vargsiukas  
Pavarde507   Vardas507   9.20                10.00              kietiakas   
Pavarde508   Vardas508   7.04                7.20               kietiakas   
Pavarde509   Vardas509   3.72                3.80               vargsiukas  
Pavarde51    Vardas51    5.68                6.40               kietiakas   
Pavarde510   Vardas510   3.60                3.60               vargsiukas  
Pavarde511   Vardas511   5.60                5.60               kietiakas   
Pavarde512   Vardas512   2.84                3.00               vargsiukas  
Pavarde513   Vardas513   4.40                4.00               vargsiukas  
Pavarde514   Vardas514   7.16                6.60               kietiakas   
Pavarde515   Vardas515   8.48                8.00               kietiakas   
Pavarde516   Vardas516   4.08                4.40               vargsiukas  
Pavarde517   Vardas517   6.60                7.00               kietiakas   
Pavarde518   Vardas518   6.44                6.60               kietiakas   
Pavarde519   Vardas519   5.56                5.80               kietiakas   
Pavarde52    Vardas52    4.16                4.00               vargsiukas  
Pavarde520   Vardas520   3.04                2.40               vargsiukas  
Pavarde521   Vardas521   8.40                8.40               kietiakas   
Pavarde522   Vardas522   8.20                8.60               kietiakas   
Pavarde523   Vardas523   5.80                5.40               kietiakas   
Pavarde524   Vardas524   2.28                2.20               vargsiukas  
Pavarde525   Vardas525   5.12                5.20               kietiakas   
Pavarde526   Vardas526   3.08                3.40               vargsiukas  
Pavarde527   Vardas527   6.64                6.80               kietiakas   
Pavarde528   Vardas528   7.60                7.20               kietiakas   
Pavarde529   Vardas529   5.28                5.20               kietiakas   
Pavarde53    Vardas53    3.24                3.40               vargsiukas  
Pavarde530   Vardas530   8.20                8.60               kietiakas   
Pavarde531   Vardas531   2.60                1.80               vargsiukas  
Pavarde532   Vardas532   3.48                3.80               vargsiukas  
Pavarde533   Vardas533   6.48                6.80               kietiakas   
Pavarde534   Vardas534   3.16                3.80               vargsiukas  
Pavarde535   Vardas535   6.64                6.00               kietiakas   
Pavarde536   Vardas536   6.36                6.20               kietiakas   
Pavarde537   Vardas537   6.08                6.40               kietiakas   
Pavarde538   Vardas538   5.64                5.80               kietiakas   
