Pavarde       Vardas       Galutinis-vidurkis  Galutinis-mediana  Kategorija  
Pavarde1157   Vardas1157   3.64                3.80               vargsiukas  
Pavarde1158   Vardas1158   6.84                6.20               kietiakas   
Pavarde1159   Vardas1159   5.96                6.60               kietiakas   
Pavarde116    Vardas116    7.36                6.80               kietiakas   
Pavarde1160   Vardas1160   6.04                6.20               kietiakas   
Pavarde1161   Vardas1161   3.36                2.80               vargsiukas  
Pavarde1162   Vardas1162   6.76                6.20               kietiakas   
Pavarde1163   Vardas1163   6.60                6.60               kietiakas   
Pavarde1164   Vardas1164   4.80                5.20               vargsiukas  
Pavarde1165   Vardas1165   3.84                3.20               vargsiukas  
Pavarde1166   Vardas1166   3.28                3.20               vargsiukas  
Pavarde1167   Vardas1167   1.88                1.80               vargsiukas  
Pavarde1168   Vardas1168   6.28                5.80               kietiakas   
Pavarde1169   Vardas1169   3.80                3.40               vargsiukas  
Pavarde117    Vardas117    2.76                2.60               vargsiukas  
Pavarde1170   Vardas1170   3.48                3.80               vargsiukas  
Pavarde1171   Vardas1171   5.88                5.80               kietiakas   
Pavarde1172   Vardas1172   4.52                5.00               vargsiukas  
Pavarde1173   Vardas1173   2.96                3.20               vargsiukas  
Pavarde1174   Vardas1174   5.56                5.80               kietiakas   
Pavarde1175   Vardas1175   5.64                5.80               kietiakas   
Pavarde1176   Vardas1176   3.08                3.00               vargsiukas  
Pavarde1177   Vardas1177   3.84                4.40               vargsiukas  
Pavarde1178   Vardas1178   2.80                2.00               vargsiukas  
Pavarde1179   Vardas1179   5.32                5.40               kietiakas   
Pavarde118    Vardas118    7.92                7.60               kietiakas   
Pavarde1180   Vardas1180   2.44                2.60               vargsiukas  
Pavarde1181   Vardas1181   7.84                7.60               kietiakas   
Pavarde1182   Vardas1182   5.32                5.40               kietiakas   
Pavarde1183   Vardas1183   5.24                4.60               kietiakas   
Pavarde1184   Vardas1184   8.72                8.80               kietiakas   
Pavarde1185   Vardas1185   6.48                6.40               kietiakas   
Pavarde1186   Vardas1186   3.72                4.20               vargsiukas  
Pavarde1187   Vardas1187   2.80                2.40               vargsiukas  
Pavarde1188   Vardas1188   3.16                3.00               vargsiukas  
Pavarde1189   Vardas1189   4.24                4.80               vargsiukas  
Pavarde119    Vardas119    6.40                6.40               kietiakas   
Pavarde1190   Vardas1190   7.72                7.40               kietiakas   
Pavarde1191   Vardas1191   3.08                3.40               vargsiukas  
Pavarde1192   Vardas1192   8.08                7.60               kietiakas   
Pavarde1193   Vardas1193   7.12                7.20               kietiakas   
Pavarde1194   Vardas1194   3.44                3.60               vargsiukas  
Pavarde1195   Vardas1195   8.72                8.80               kietiakas   
Pavarde1196   Vardas1196   4.88                5.20               vargsiukas  
Pavarde1197   Vardas1197   3.40                3.00               vargsiukas  
Pavarde1198   Vardas1198   8.88                9.20               kietiakas   
Pavarde1199   Vardas1199   6.44                6.60               kietiakas   
Pavarde12     Vardas12     7.32                7.00               kietiakas   
Pavarde120    Vardas120    4.76                4.60               vargsiukas  
Pavarde1200   Vardas1200   6.36                5.80               kietiakas   
Pavarde1201   Vardas1201   3.28                3.20               vargsiukas  
Pavarde1202   Vardas1202   3.68                4.40               vargsiukas  
Pavarde1203   Vardas1203   6.60                6.20               kietiakas   
Pavarde1204   Vardas1204   6.16                6.00               kietiakas   
Pavarde1205   Vardas1205   7.76                8.00               kietiakas   
Pavarde1206   Vardas1206   4.64                4.40               vargsiukas  
Pavarde1207   Vardas1207   4.88                4.80               vargsiukas  
Pavarde1208   Vardas1208   8.76                9.00               kietiakas   
Pavarde1209   Vardas1209   5.64                5.40               kietiakas   
Pavarde121    Vardas121    7.32                7.40               kietiakas   
Pavarde1210   Vardas1210   7.68                7.60               kietiakas   
Pavarde1211   Vardas1211   2.52                2.20               vargsiukas  
Pavarde1212   Vardas1212   3.20                2.80               vargsiukas  
Pavarde1213   Vardas1213   7.24                7.40               kietiakas   
Pavarde1214   Vardas1214   4.28                3.80               vargsiukas  
Pavarde1215   Vardas1215   6.64                7.20               kietiakas   
Pavarde1216   Vardas1216   5.16                5.40               kietiakas   
Pavarde1217   Vardas1217   3.16                3.80               vargsiukas  
Pavarde1218   Vardas1218   2.76                2.20               vargsiukas  
Pavarde1219   Vardas1219   5.84                5.60               kietiakas   
Pavarde122    Vardas122    2.76                3.40               vargsiukas  
Pavarde1220   Vardas1220   6.72                6.40               kietiakas   
Pavarde1221   Vardas1221   3.08                3.00               vargsiukas  
Pavarde1222   Vardas1222   2.48                2.00               vargsiukas  
Pavarde1223   Vardas1223   3.56                3.40               vargsiukas  
Pavarde1224   Vardas1224   3.68                3.60               vargsiukas  
Pavarde1225   Vardas1225   5.68                5.20               kietiakas   
Pavarde1226   Vardas1226   4.00                4.40               vargsiukas  
Pavarde1227   Vardas1227   2.96                3.20               vargsiukas  
Pavarde1228   Vardas1228   6.92                7.00               kietiakas   
Pavarde1229   Vardas1229   4.36                4.60               vargsiukas  
Pavarde123    Vardas123    6.28                5.80               kietiakas   
Pavarde1230   Vardas1230   6.44                6.60               kietiakas   
Pavarde1231   Vardas1231   8.16                8.00               kietiakas   
Pavarde1232   Vardas1232   7.36                6.80               kietiakas   
Pavarde1233   Vardas1233   7.24                7.00               kietiakas   
Pavarde1234   Vardas1234   6.04                5.80               kietiakas   
Pavarde1235   Vardas1235   7.96                8.60               kietiakas   
Pavarde1236   Vardas1236   4.88                5.20               vargsiukas  
Pavarde1237   Vardas1237   5.32                5.00               kietiakas   
Pavarde1238   Vardas1238   3.80                4.20               vargsiukas  
Pavarde1239   Vardas1239   8.00                7.60               kietiakas   
Pavarde124    Vardas124    4.80                5.20               vargsiukas  
Pavarde1240   Vardas1240   6.80                6.40               kietiakas   
Pavarde1241   Vardas1241   8.08                8.00               kietiakas   
Pavarde1242   Vardas1242   2.68                3.00               vargsiukas  
Pavarde1243   Vardas1243   8.04                8.20               kietiakas   
Pavarde1244   Vardas1244   5.44                5.60               kietiakas   
Pavarde1245   Vardas1245   7.48                7.40               kietiakas   
Pavarde1246   Vardas1246   5.56                5.40               kietiakas   
Pavarde1247   Vardas1247   7.76                7.60               kietiakas   
Pavarde1248   Vardas1248   4.60                4.60               vargsiukas  
Pavarde1249   Vardas1249   5.16                5.00               kietiakas   
Pavarde125    Vardas125    6.52                7.00               kietiakas   
Pavarde1250   Vardas1250   5.60                4.80               kietiakas   
Pavarde1251   Vardas1251   5.52                5.60               kietiakas   
Pavarde1252   Vardas1252   6.60                7.00               kietiakas   
Pavarde1253   Vardas1253   7.04                7.20               kietiakas   
Pavarde1254   Vardas1254   6.92                7.00               kietiakas   
Pavarde1255   Vardas1255   7.68                7.60               kietiakas   
Pavarde1256   Vardas1256   3.92                4.00               vargsiukas  
Pavarde1257   Vardas1257   6.08                6.00               kietiakas   
Pavarde1258   Vardas1258   2.44                2.20               vargsiukas  
Pavarde1259   Vardas1259   4.52                4.60               vargsiukas  
Pavarde126    Vardas126    6.56                6.80               kietiakas   
Pavarde1260   Vardas1260   2.04                1.40               vargsiukas  
Pavarde1261   Vardas1261   2.36                2.20               vargsiukas  
Pavarde1262   Vardas1262   5.16                4.60               kietiakas   
Pavarde1263   Vardas1263   5.40                5.40               kietiakas   
Pavarde1264   Vardas1264   6.96                6.40               kietiakas   
Pavarde1265   Vardas1265   6.32                6.00               kietiakas   
Pavarde1266   Vardas1266   3.20                3.20               vargsiukas  
Pavarde1267   Vardas1267   4.60                5.00               vargsiukas  
Pavarde1268   Vardas1268   4.92                5.00               vargsiukas  
Pavarde1269   Vardas1269   6.80                6.80               kietiakas   
Pavarde127    Vardas127    6.64                7.60               kietiakas   
Pavarde1270   Vardas1270   6.60                7.00               kietiakas   
Pavarde1271   Vardas1271   6.12                6.20               kietiakas   
Pavarde1272   Vardas1272   6.28                6.60               kietiakas   
Pavarde1273   Vardas1273   3.04                3.20               vargsiukas  
Pavarde1274   Vardas1274   6.20                5.80               kietiakas   
Pavarde1275   Vardas1275   7.88                7.80               kietiakas   
Pavarde1276   Vardas1276   2.76                2.60               vargsiukas  
Pavarde1277   Vardas1277   5.16                4.20               kietiakas   
Pavarde1278   Vardas1278   5.36                5.60               kietiakas   
Pavarde1279   Vardas1279   5.64                5.80               kietiakas   
Pavarde128    Vardas128    6.40                6.40               kietiakas   
Pavarde1280   Vardas1280   6.68                6.60               kietiakas   
Pavarde1281   Vardas1281   5.24                5.40               kietiakas   
Pavarde1282   Vardas1282   4.24                4.00               vargsiukas  
Pavarde1283   Vardas1283   4.04                4.20               vargsiukas  
Pavarde1284   Vardas1284   4.16                4.40               vargsiukas  
Pavarde1285   Vardas1285   5.84                6.40               kietiakas   
Pavarde1286   Vardas1286   5.64                5.80               kietiakas   
Pavarde1287   Vardas1287   2.96                2.00               vargsiukas  
Pavarde1288   Vardas1288   6.40                6.00               kietiakas   
Pavarde1289   Vardas1289   7.32                7.80               kietiakas   
Pavarde129    Vardas129    6.44                5.80               kietiakas   
Pavarde1290   Vardas1290   6.68                6.60               kietiakas   
Pavarde1291   Vardas1291   3.64                3.00               vargsiukas  
Pavarde1292   Vardas1292   4.36                4.60               vargsiukas  
Pavarde1293   Vardas1293   8.56                8.40               kietiakas   
Pavarde1294   Vardas1294   4.24                3.60               vargsiukas  
Pavarde1295   Vardas1295   4.52                4.60               vargsiukas  
Pavarde1296   Vardas1296   3.64                3.80               vargsiukas  
Pavarde1297   Vardas1297   5.60                5.20               kietiakas   
Pavarde1298   Vardas1298   4.60                5.40               vargsiukas  
Pavarde1299   Vardas1299   7.44                7.60               kietiakas   
Pavarde13     Vardas13     3.52                2.80               vargsiukas  
Pavarde130    Vardas130    6.12                5.80               kietiakas   
Pavarde1300   Vardas1300   6.88                6.80               kietiakas   
Pavarde1301   Vardas1301   2.72                2.80               vargsiukas  
Pavarde1302   Vardas1302   3.60                3.20               vargsiukas  
Pavarde1303   Vardas1303   6.80                7.20               kietiakas   
Pavarde1304   Vardas1304   7.52                7.60               kietiakas   
Pavarde1305   Vardas1305   4.00                3.60               vargsiukas  
Pavarde1306   Vardas1306   7.84                8.80               kietiakas   
Pavarde1307   Vardas1307   6.48                7.20               kietiakas   
Pavarde1308   Vardas1308   2.20                1.40               vargsiukas  
Pavarde1309   Vardas1309   8.04                8.60               kietiakas   
Pavarde131    Vardas131    2.36                1.80               vargsiukas  
Pavarde1310   Vardas1310   3.76                3.60               vargsiukas  
Pavarde1311   Vardas1311   4.00                4.00               vargsiukas  
Pavarde1312   Vardas1312   4.16                4.40               vargsiukas  
Pavarde1313   Vardas1313   5.84                5.20               kietiakas   
Pavarde1314   Vardas1314   2.64                2.40               vargsiukas  
Pavarde1315   Vardas1315   7.40                7.40               kietiakas   
Pavarde1316   Vardas1316   5.84                6.40               kietiakas   
Pavarde1317   Vardas1317   3.64                3.40               vargsiukas  
Pavarde1318   Vardas1318   8.24                8.80               kietiakas   
Pavarde1319   Vardas1319   7.04                6.80               kietiakas   
Pavarde132    Vardas132    6.84                6.60               kietiakas   
Pavarde1320   Vardas1320   3.68                3.20               vargsiukas  
Pavarde1321   Vardas1321   5.00                4.60               kietiakas   
Pavarde1322   Vardas1322   8.40                8.80               kietiakas   
Pavarde1323   Vardas1323   3.88                4.20               vargsiukas  
Pavarde1324   Vardas1324   6.84                7.00               kietiakas   
Pavarde1325   Vardas1325   2.68                3.00               vargsiukas  
Pavarde1326   Vardas1326   7.88                8.60               kietiakas   
Pavarde1327   Vardas1327   6.20                5.80               kietiakas   
Pavarde1328   Vardas1328   4.84                3.80               vargsiukas  
Pavarde1329   Vardas1329   3.68                4.00               vargsiukas  
Pavarde133    Vardas133    4.88                5.20               vargsiukas  
Pavarde1330   Vardas1330   3.28                3.20               vargsiukas  
Pavarde1331   Vardas1331   7.20                7.20               kietiakas   
Pavarde1332   Vardas1332   7.16                7.00               kietiakas   
Pavarde1333   Vardas1333   6.64                6.80               kietiakas   
Pavarde1334   Vardas1334   3.60                4.00               vargsiukas  
Pavarde1335   Vardas1335   6.04                6.20               kietiakas   
Pavarde1336   Vardas1336   2.44                2.20               vargsiukas  
Pavarde1337   Vardas1337   7.56                7.80               kietiakas   
Pavarde1338   Vardas1338   8.64                8.40               kietiakas   
Pavarde1339   Vardas1339   5.08                4.60               kietiakas   
Pavarde134    Vardas134    7.24                7.00               kietiakas   
Pavarde1340   Vardas1340   8.48                8.80               kietiakas   
Pavarde1341   Vardas1341   3.64                3.80               vargsiukas  
Pavarde1342   Vardas1342   3.52                3.60               vargsiukas  
Pavarde1343   Vardas1343   5.84                5.60               kietiakas   
Pavarde1344   Vardas1344   8.00                8.80               kietiakas   
Pavarde1345   Vardas1345   3.52                3.60               vargsiukas  
Pavarde1346   Vardas1346   4.00                4.00               vargsiukas  
Pavarde1347   Vardas1347   7.48                7.40               kietiakas   
Pavarde1348   Vardas1348   6.28                5.40               kietiakas   
Pavarde1349   Vardas1349   7.52                7.20               kietiakas   
Pavarde135    Vardas135    6.00                6.00               kietiakas   
Pavarde1350   Vardas1350   4.84                4.60               vargsiukas  
Pavarde1351   Vardas1351   4.44                4.20               vargsiukas  
Pavarde1352   Vardas1352   8.64                8.80               kietiakas   
Pavarde1353   Vardas1353   3.28                2.80               vargsiukas  
Pavarde1354   Vardas1354   4.24                4.00               vargsiukas  
Pavarde1355   Vardas1355   7.60                7.20               kietiakas   
Pavarde1356   Vardas1356   6.72                7.20               kietiakas   
Pavarde1357   Vardas1357   5.32                5.00               kietiakas   
Pavarde1358   Vardas1358   4.16                4.00               vargsiukas  
Pavarde1359   Vardas1359   7.24                7.40               kietiakas   
Pavarde136    Vardas136    3.08                3.80               vargsiukas  
Pavarde1360   Vardas1360   6.56                6.80               kietiakas   
Pavarde1361   Vardas1361   3.72                4.20               vargsiukas  
Pavarde1362   Vardas1362   6.96                7.20               kietiakas   
Pavarde1363   Vardas1363   4.16                4.40               vargsiukas  
Pavarde1364   Vardas1364   7.64                7.40               kietiakas   
Pavarde1365   Vardas1365   7.20                7.60               kietiakas   
Pavarde1366   Vardas1366   3.68                4.40               vargsiukas  
Pavarde1367   Vardas1367   7.08                7.00               kietiakas   
Pavarde1368   Vardas1368   4.92                5.40               vargsiukas  
Pavarde1369   Vardas1369   6.60                6.60               kietiakas   
Pavarde137    Vardas137    5.24                5.00               kietiakas   
Pavarde1370   Vardas1370   4.36                5.40               vargsiukas  
Pavarde1371   Vardas1371   8.48                8.40               kietiakas   
Pavarde1372   Vardas1372   4.00                4.00               vargsiukas  
Pavarde1373   Vardas1373   6.44                6.60               kietiakas   
Pavarde1374   Vardas1374   4.44                5.00               vargsiukas  
Pavarde1375   Vardas1375   6.12                5.40               kietiakas   
Pavarde1376   Vardas1376   6.48                6.40               kietiakas   
Pavarde1377   Vardas1377   6.72                6.80               kietiakas   
Pavarde1378   Vardas1378   4.96                4.40               vargsiukas  
Pavarde1379   Vardas1379   6.20                6.20               kietiakas   
Pavarde138    Vardas138    4.32                4.40               vargsiukas  
Pavarde1380   Vardas1380   3.48                4.20               vargsiukas  
Pavarde1381   Vardas1381   5.08                4.60               kietiakas   
Pavarde1382   Vardas1382   7.08                7.40               kietiakas   
Pavarde1383   Vardas1383   2.60                2.20               vargsiukas  
Pavarde1384   Vardas1384   6.32                6.80               kietiakas   
Pavarde1385   Vardas1385   3.00                3.00               vargsiukas  
Pavarde1386   Vardas1386   6.32                6.80               kietiakas   
Pavarde1387   Vardas1387   7.20                7.20               kietiakas   
Pavarde1388   Vardas1388   4.60                3.40               vargsiukas  
Pavarde1389   Vardas1389   6.60                7.40               kietiakas   
Pavarde139    Vardas139    6.48                6.00               kietiakas   
Pavarde1390   Vardas1390   6.48                6.80               kietiakas   
Pavarde1391   Vardas1391   4.84                5.00               vargsiukas  
Pavarde1392   Vardas1392   5.44                5.20               kietiakas   
Pavarde1393   Vardas1393   6.08                6.40               kietiakas   
Pavarde1394   Vardas1394   3.92                3.60               vargsiukas  
Pavarde1395   Vardas1395   5.92                6.00               kietiakas   
Pavarde1396   Vardas1396   4.68                4.20               vargsiukas  
Pavarde1397   Vardas1397   3.36                3.60               vargsiukas  
Pavarde1398   Vardas1398   6.16                6.40               kietiakas   
Pavarde1399   Vardas1399   2.44                2.20               vargsiukas  
Pavarde14     Vardas14     3.16                3.00               vargsiukas  
Pavarde140    Vardas140    5.72                6.20               kietiakas   
Pavarde1400   Vardas1400   3.52                3.60               vargsiukas  
Pavarde1401   Vardas1401   2.28                2.20               vargsiukas  
Pavarde1402   Vardas1402   3.48                3.80               vargsiukas  
Pavarde1403   Vardas1403   6.80                7.20               kietiakas   
Pavarde1404   Vardas1404   7.20                7.20               kietiakas   
Pavarde1405   Vardas1405   7.56                7.00               kietiakas   
Pavarde1406   Vardas1406   8.20                8.60               kietiakas   
Pavarde1407   Vardas1407   3.40                3.00               vargsiukas  
Pavarde1408   Vardas1408   2.68                3.00               vargsiukas  
Pavarde1409   Vardas1409   5.68                5.60               kietiakas   
Pavarde141    Vardas141    3.56                3.00               vargsiukas  
Pavarde1410   Vardas1410   6.12                6.20               kietiakas   
