Pavarde      Vardas      Galutinis-vidurkis  Galutinis-mediana  
Pavarde317   Vardas317   6.84                7.80               
Pavarde318   Vardas318   6.56                6.40               
Pavarde32    Vardas32    5.96                6.20               
Pavarde322   Vardas322   6.28                6.20               
Pavarde324   Vardas324   7.24                7.40               
Pavarde325   Vardas325   6.40                6.40               
Pavarde327   Vardas327   5.96                5.80               
Pavarde328   Vardas328   5.92                5.60               
Pavarde33    Vardas33    8.12                7.80               
Pavarde331   Vardas331   8.12                8.60               
Pavarde332   Vardas332   5.08                5.00               
Pavarde333   Vardas333   8.88                9.20               
Pavarde334   Vardas334   7.64                7.40               
Pavarde336   Vardas336   6.04                6.20               
Pavarde337   Vardas337   7.40                7.80               
Pavarde343   Vardas343   5.52                5.60               
Pavarde344   Vardas344   5.28                5.60               
Pavarde346   Vardas346   7.80                7.80               
Pavarde349   Vardas349   7.12                6.80               
Pavarde350   Vardas350   6.52                6.20               
Pavarde351   Vardas351   8.12                7.80               
Pavarde352   Vardas352   6.24                6.00               
Pavarde355   Vardas355   6.92                7.00               
Pavarde356   Vardas356   6.84                7.00               
Pavarde358   Vardas358   6.28                5.80               
Pavarde359   Vardas359   7.52                7.60               
Pavarde360   Vardas360   7.56                7.40               
Pavarde361   Vardas361   5.84                5.60               
Pavarde363   Vardas363   6.16                6.40               
Pavarde364   Vardas364   5.84                6.00               
Pavarde365   Vardas365   6.08                6.40               
Pavarde369   Vardas369   6.40                6.40               
Pavarde370   Vardas370   7.44                6.80               
Pavarde372   Vardas372   7.80                7.80               
Pavarde373   Vardas373   8.48                8.80               
Pavarde374   Vardas374   7.36                6.80               
Pavarde376   Vardas376   5.72                5.80               
Pavarde378   Vardas378   5.44                5.60               
Pavarde380   Vardas380   7.60                7.20               
Pavarde381   Vardas381   5.44                6.00               
Pavarde386   Vardas386   5.92                6.40               
Pavarde387   Vardas387   7.84                8.00               
Pavarde388   Vardas388   6.92                7.00               
Pavarde39    Vardas39    6.08                6.00               
Pavarde391   Vardas391   7.04                7.20               
Pavarde392   Vardas392   6.16                6.40               
Pavarde393   Vardas393   7.96                8.20               
Pavarde397   Vardas397   8.88                8.80               
Pavarde398   Vardas398   7.60                7.60               
Pavarde4     Vardas4     7.92                7.20               
Pavarde400   Vardas400   7.60                8.00               
Pavarde401   Vardas401   7.88                8.20               
Pavarde402   Vardas402   5.24                5.40               
Pavarde403   Vardas403   6.00                6.40               
Pavarde406   Vardas406   6.28                6.20               
Pavarde408   Vardas408   7.80                7.80               
Pavarde409   Vardas409   7.44                7.20               
Pavarde41    Vardas41    5.44                5.20               
Pavarde410   Vardas410   7.00                7.00               
Pavarde412   Vardas412   6.40                6.00               
Pavarde413   Vardas413   5.28                5.60               
Pavarde414   Vardas414   5.80                5.80               
Pavarde415   Vardas415   9.04                9.20               
Pavarde416   Vardas416   6.44                6.20               
Pavarde419   Vardas419   8.80                9.20               
Pavarde42    Vardas42    7.52                7.20               
Pavarde421   Vardas421   5.88                5.80               
Pavarde422   Vardas422   7.36                8.00               
Pavarde423   Vardas423   7.80                7.40               
Pavarde426   Vardas426   7.76                6.80               
Pavarde427   Vardas427   6.00                6.00               
Pavarde428   Vardas428   8.72                9.20               
Pavarde43    Vardas43    7.20                7.20               
Pavarde430   Vardas430   5.04                4.80               
Pavarde431   Vardas431   6.28                6.20               
Pavarde434   Vardas434   6.48                6.00               
Pavarde436   Vardas436   7.08                7.00               
Pavarde437   Vardas437   7.76                7.60               
Pavarde438   Vardas438   6.76                7.00               
Pavarde439   Vardas439   8.96                9.60               
Pavarde44    Vardas44    8.56                8.40               
Pavarde440   Vardas440   6.16                6.80               
Pavarde443   Vardas443   7.12                7.20               
Pavarde444   Vardas444   5.60                5.60               
Pavarde445   Vardas445   8.20                8.60               
Pavarde446   Vardas446   7.24                7.80               
Pavarde449   Vardas449   5.88                5.40               
Pavarde45    Vardas45    6.24                7.60               
Pavarde450   Vardas450   7.32                7.40               
Pavarde451   Vardas451   7.32                7.00               
Pavarde452   Vardas452   7.56                7.40               
Pavarde453   Vardas453   5.24                5.80               
Pavarde454   Vardas454   5.88                5.80               
Pavarde456   Vardas456   5.28                5.60               
Pavarde458   Vardas458   8.32                9.20               
Pavarde466   Vardas466   5.76                6.40               
Pavarde469   Vardas469   8.08                7.60               
Pavarde47    Vardas47    6.68                6.60               
Pavarde470   Vardas470   6.92                6.60               
Pavarde471   Vardas471   8.20                9.00               
Pavarde472   Vardas472   8.56                8.80               
Pavarde473   Vardas473   6.76                7.00               
Pavarde475   Vardas475   8.96                8.80               
Pavarde477   Vardas477   7.32                7.40               
Pavarde478   Vardas478   5.08                5.00               
Pavarde479   Vardas479   5.44                4.40               
Pavarde480   Vardas480   5.20                6.00               
Pavarde483   Vardas483   6.04                5.40               
Pavarde484   Vardas484   8.12                9.00               
Pavarde485   Vardas485   5.48                5.40               
Pavarde488   Vardas488   7.76                8.00               
Pavarde489   Vardas489   7.56                7.80               
Pavarde49    Vardas49    6.20                6.20               
Pavarde490   Vardas490   8.64                8.80               
Pavarde492   Vardas492   6.16                5.60               
Pavarde493   Vardas493   5.44                4.80               
Pavarde495   Vardas495   8.12                8.20               
Pavarde498   Vardas498   5.40                5.80               
Pavarde499   Vardas499   8.40                8.80               
Pavarde50    Vardas50    7.28                7.60               
Pavarde500   Vardas500   7.68                8.00               
Pavarde501   Vardas501   6.76                7.00               
Pavarde502   Vardas502   7.44                7.60               
Pavarde504   Vardas504   5.56                5.40               
Pavarde505   Vardas505   7.80                7.80               
Pavarde507   Vardas507   9.20                10.00              
Pavarde508   Vardas508   7.04                7.20               
Pavarde51    Vardas51    5.68                6.40               
Pavarde511   Vardas511   5.60                5.60               
Pavarde514   Vardas514   7.16                6.60               
Pavarde515   Vardas515   8.48                8.00               
Pavarde517   Vardas517   6.60                7.00               
Pavarde518   Vardas518   6.44                6.60               
Pavarde519   Vardas519   5.56                5.80               
Pavarde521   Vardas521   8.40                8.40               
Pavarde522   Vardas522   8.20                8.60               
Pavarde523   Vardas523   5.80                5.40               
Pavarde525   Vardas525   5.12                5.20               
Pavarde527   Vardas527   6.64                6.80               
Pavarde528   Vardas528   7.60                7.20               
Pavarde529   Vardas529   5.28                5.20               
Pavarde530   Vardas530   8.20                8.60               
Pavarde533   Vardas533   6.48                6.80               
Pavarde535   Vardas535   6.64                6.00               
Pavarde536   Vardas536   6.36                6.20               
Pavarde537   Vardas537   6.08                6.40               
Pavarde538   Vardas538   5.64                5.80               
Pavarde539   Vardas539   6.24                6.00               
Pavarde540   Vardas540   6.40                7.20               
Pavarde541   Vardas541   7.40                7.00               
Pavarde542   Vardas542   8.32                8.80               
Pavarde543   Vardas543   7.16                7.00               
Pavarde545   Vardas545   5.60                5.20               
Pavarde546   Vardas546   6.28                6.60               
Pavarde547   Vardas547   6.64                7.60               
Pavarde548   Vardas548   8.08                7.20               
Pavarde55    Vardas55    5.48                5.80               
Pavarde553   Vardas553   7.20                8.00               
Pavarde554   Vardas554   5.20                5.20               
Pavarde556   Vardas556   8.16                8.00               
Pavarde558   Vardas558   5.68                6.00               
Pavarde56    Vardas56    7.00                7.40               
Pavarde561   Vardas561   8.20                8.20               
Pavarde562   Vardas562   7.80                7.00               
Pavarde565   Vardas565   6.32                6.80               
Pavarde566   Vardas566   6.56                6.80               
Pavarde567   Vardas567   6.84                6.60               
Pavarde568   Vardas568   7.44                7.60               
Pavarde569   Vardas569   6.24                5.20               
Pavarde570   Vardas570   6.16                6.00               
Pavarde571   Vardas571   5.92                6.00               
Pavarde572   Vardas572   5.44                5.20               
Pavarde573   Vardas573   5.72                5.80               
Pavarde575   Vardas575   8.56                8.40               
Pavarde576   Vardas576   6.68                6.60               
Pavarde577   Vardas577   6.08                7.20               
Pavarde578   Vardas578   5.76                6.00               
Pavarde579   Vardas579   5.28                5.20               
Pavarde58    Vardas58    6.36                6.20               
Pavarde580   Vardas580   6.40                6.40               
Pavarde581   Vardas581   7.08                6.60               
Pavarde582   Vardas582   5.00                4.60               
Pavarde584   Vardas584   6.72                6.00               
Pavarde590   Vardas590   6.72                6.80               
Pavarde591   Vardas591   6.72                6.40               
Pavarde593   Vardas593   8.32                8.00               
Pavarde594   Vardas594   6.00                5.60               
Pavarde595   Vardas595   5.60                4.80               
Pavarde596   Vardas596   6.88                7.60               
Pavarde597   Vardas597   7.36                7.20               
Pavarde598   Vardas598   7.20                7.20               
Pavarde599   Vardas599   7.04                7.20               
Pavarde6     Vardas6     5.12                4.80               
Pavarde60    Vardas60    8.12                8.20               
Pavarde601   Vardas601   5.96                6.20               
Pavarde602   Vardas602   8.12                8.20               
Pavarde604   Vardas604   8.08                8.00               
Pavarde605   Vardas605   5.32                5.80               
Pavarde606   Vardas606   6.12                5.80               
Pavarde607   Vardas607   6.64                6.80               
Pavarde608   Vardas608   5.28                5.60               
Pavarde609   Vardas609   7.76                7.60               
Pavarde610   Vardas610   8.48                8.40               
Pavarde613   Vardas613   6.40                6.00               
Pavarde614   Vardas614   6.52                6.60               
Pavarde616   Vardas616   5.80                5.80               
Pavarde618   Vardas618   8.08                8.00               
Pavarde62    Vardas62    7.52                8.40               
Pavarde621   Vardas621   6.08                6.00               
Pavarde622   Vardas622   7.76                7.60               
Pavarde624   Vardas624   5.68                6.00               
Pavarde625   Vardas625   6.04                5.40               
Pavarde626   Vardas626   7.28                6.80               
Pavarde627   Vardas627   5.04                4.80               
Pavarde629   Vardas629   6.28                6.60               
Pavarde630   Vardas630   5.96                5.40               
Pavarde631   Vardas631   6.48                7.20               
Pavarde633   Vardas633   7.56                7.40               
Pavarde634   Vardas634   5.12                5.60               
Pavarde635   Vardas635   7.76                8.00               
Pavarde636   Vardas636   7.76                7.20               
Pavarde637   Vardas637   5.80                5.00               
Pavarde638   Vardas638   5.24                5.40               
Pavarde639   Vardas639   6.56                6.40               
Pavarde640   Vardas640   9.28                9.60               
Pavarde644   Vardas644   6.72                6.40               
Pavarde645   Vardas645   8.08                8.40               
Pavarde65    Vardas65    7.20                7.60               
Pavarde652   Vardas652   8.36                8.60               
Pavarde653   Vardas653   7.04                6.80               
Pavarde656   Vardas656   8.28                8.20               
Pavarde657   Vardas657   5.24                5.40               
Pavarde658   Vardas658   7.72                7.80               
Pavarde66    Vardas66    8.68                9.00               
Pavarde660   Vardas660   7.16                7.40               
Pavarde664   Vardas664   6.88                7.20               
Pavarde665   Vardas665   6.40                6.40               
Pavarde667   Vardas667   6.36                6.20               
Pavarde671   Vardas671   5.48                5.80               
Pavarde672   Vardas672   5.84                5.20               
Pavarde673   Vardas673   6.28                6.60               
Pavarde674   Vardas674   6.32                5.60               
Pavarde675   Vardas675   8.64                8.40               
Pavarde677   Vardas677   7.72                7.40               
Pavarde678   Vardas678   8.48                8.40               
Pavarde679   Vardas679   5.96                5.80               
Pavarde68    Vardas68    5.64                5.80               
Pavarde681   Vardas681   7.84                8.00               
Pavarde682   Vardas682   6.88                6.40               
Pavarde684   Vardas684   5.96                5.80               
Pavarde686   Vardas686   6.04                6.60               
Pavarde687   Vardas687   5.64                6.20               
Pavarde689   Vardas689   6.08                6.40               
Pavarde691   Vardas691   8.08                7.60               
Pavarde693   Vardas693   5.00                4.20               
Pavarde694   Vardas694   5.48                5.40               
Pavarde695   Vardas695   6.96                6.80               
Pavarde696   Vardas696   7.92                8.40               
Pavarde702   Vardas702   6.28                5.80               
Pavarde704   Vardas704   6.28                6.20               
Pavarde706   Vardas706   8.64                9.20               
Pavarde707   Vardas707   8.80                9.20               
Pavarde708   Vardas708   7.40                7.40               
Pavarde709   Vardas709   6.16                6.00               
Pavarde711   Vardas711   5.92                5.20               
Pavarde712   Vardas712   7.40                7.40               
Pavarde713   Vardas713   7.24                7.80               
Pavarde716   Vardas716   8.88                9.20               
Pavarde717   Vardas717   5.52                5.60               
Pavarde718   Vardas718   8.16                8.00               
Pavarde719   Vardas719   6.68                6.60               
Pavarde720   Vardas720   5.08                4.60               
Pavarde721   Vardas721   6.16                6.80               
Pavarde723   Vardas723   7.76                7.60               
Pavarde724   Vardas724   7.48                7.00               
Pavarde725   Vardas725   8.28                7.80               
Pavarde726   Vardas726   8.08                8.40               
Pavarde727   Vardas727   6.20                5.80               
Pavarde728   Vardas728   7.92                7.20               
Pavarde729   Vardas729   7.68                7.20               
Pavarde730   Vardas730   8.64                8.80               
Pavarde732   Vardas732   6.44                6.60               
Pavarde733   Vardas733   7.40                7.40               
Pavarde734   Vardas734   6.16                6.00               
Pavarde738   Vardas738   9.04                9.60               
Pavarde740   Vardas740   7.64                7.80               
Pavarde741   Vardas741   6.64                6.00               
Pavarde745   Vardas745   6.52                6.60               
Pavarde746   Vardas746   5.80                5.80               
Pavarde747   Vardas747   8.08                7.20               
Pavarde751   Vardas751   6.04                6.20               
Pavarde752   Vardas752   7.92                8.00               
Pavarde754   Vardas754   5.56                5.40               
Pavarde755   Vardas755   8.32                8.00               
Pavarde756   Vardas756   6.16                5.60               
Pavarde757   Vardas757   5.28                5.20               
Pavarde758   Vardas758   5.08                5.00               
Pavarde759   Vardas759   7.92                8.00               
Pavarde76    Vardas76    8.36                8.60               
Pavarde761   Vardas761   6.24                6.00               
Pavarde762   Vardas762   5.52                5.20               
Pavarde763   Vardas763   7.32                7.00               
Pavarde764   Vardas764   6.80                6.80               
Pavarde766   Vardas766   5.44                6.00               
Pavarde767   Vardas767   5.96                5.80               
Pavarde768   Vardas768   8.72                9.20               
Pavarde769   Vardas769   7.04                6.80               
Pavarde770   Vardas770   7.36                8.00               
Pavarde771   Vardas771   5.44                5.20               
Pavarde775   Vardas775   5.96                5.80               
Pavarde778   Vardas778   9.12                9.60               
Pavarde78    Vardas78    7.76                8.00               
Pavarde780   Vardas780   5.08                5.80               
Pavarde781   Vardas781   8.80                9.20               
Pavarde783   Vardas783   5.32                5.80               
Pavarde784   Vardas784   8.20                9.00               
Pavarde785   Vardas785   5.60                4.80               
Pavarde787   Vardas787   5.64                5.80               
Pavarde788   Vardas788   6.64                6.80               
Pavarde79    Vardas79    8.24                8.00               
Pavarde790   Vardas790   5.20                4.40               
Pavarde793   Vardas793   5.88                5.80               
Pavarde794   Vardas794   7.56                6.60               
Pavarde795   Vardas795   6.60                7.00               
Pavarde80    Vardas80    8.16                8.40               
Pavarde800   Vardas800   6.20                6.20               
Pavarde801   Vardas801   6.84                7.00               
Pavarde803   Vardas803   6.36                6.60               
Pavarde804   Vardas804   5.48                5.00               
Pavarde805   Vardas805   6.44                6.60               
Pavarde806   Vardas806   7.24                7.00               
Pavarde807   Vardas807   6.24                6.80               
Pavarde808   Vardas808   7.76                7.60               
Pavarde81    Vardas81    6.28                5.80               
Pavarde811   Vardas811   7.08                7.40               
Pavarde812   Vardas812   8.40                8.80               
Pavarde816   Vardas816   5.92                5.60               
Pavarde817   Vardas817   7.72                7.40               
Pavarde819   Vardas819   6.72                6.80               
Pavarde820   Vardas820   6.72                7.20               
Pavarde823   Vardas823   8.08                8.00               
Pavarde824   Vardas824   5.76                6.00               
Pavarde825   Vardas825   7.00                7.00               
Pavarde826   Vardas826   9.36                10.00              
Pavarde827   Vardas827   5.76                6.40               
Pavarde828   Vardas828   8.56                8.00               
Pavarde830   Vardas830   5.76                6.40               
Pavarde831   Vardas831   5.56                5.80               
Pavarde833   Vardas833   6.48                6.40               
Pavarde835   Vardas835   8.04                8.20               
Pavarde836   Vardas836   6.28                6.60               
Pavarde837   Vardas837   7.76                7.60               
Pavarde838   Vardas838   7.64                7.40               
Pavarde839   Vardas839   5.08                4.60               
Pavarde84    Vardas84    7.32                7.40               
Pavarde841   Vardas841   5.84                6.40               
Pavarde844   Vardas844   8.80                8.80               
Pavarde845   Vardas845   5.92                6.00               
Pavarde846   Vardas846   5.96                5.80               
Pavarde847   Vardas847   5.92                6.40               
Pavarde849   Vardas849   6.52                5.80               
Pavarde85    Vardas85    6.40                6.00               
Pavarde850   Vardas850   8.00                8.00               
Pavarde851   Vardas851   7.04                6.40               
Pavarde852   Vardas852   6.00                5.60               
Pavarde853   Vardas853   6.68                7.40               
Pavarde854   Vardas854   9.20                9.60               
Pavarde857   Vardas857   8.20                7.80               
Pavarde858   Vardas858   6.00                6.00               
Pavarde86    Vardas86    8.88                8.40               
Pavarde860   Vardas860   5.00                5.00               
Pavarde861   Vardas861   5.48                5.00               
Pavarde862   Vardas862   6.04                5.80               
Pavarde865   Vardas865   7.52                6.80               
Pavarde866   Vardas866   6.48                6.80               
Pavarde868   Vardas868   5.80                5.40               
Pavarde87    Vardas87    7.16                7.40               
Pavarde870   Vardas870   7.16                7.00               
Pavarde872   Vardas872   7.04                7.20               
Pavarde875   Vardas875   8.28                8.60               
Pavarde876   Vardas876   7.32                7.40               
Pavarde879   Vardas879   5.76                6.40               
Pavarde88    Vardas88    5.44                6.00               
Pavarde880   Vardas880   7.60                8.00               
Pavarde881   Vardas881   7.00                7.00               
Pavarde884   Vardas884   5.40                4.60               
Pavarde887   Vardas887   6.52                6.60               
Pavarde888   Vardas888   5.56                5.80               
Pavarde89    Vardas89    8.08                8.40               
Pavarde890   Vardas890   7.12                7.20               
Pavarde894   Vardas894   5.80                5.40               
Pavarde895   Vardas895   6.88                6.80               
Pavarde897   Vardas897   8.32                8.00               
Pavarde898   Vardas898   6.92                7.40               
Pavarde899   Vardas899   7.32                7.40               
Pavarde9     Vardas9     7.48                7.80               
Pavarde900   Vardas900   9.12                10.00              
Pavarde902   Vardas902   6.04                5.40               
Pavarde904   Vardas904   6.92                7.40               
Pavarde905   Vardas905   5.44                5.20               
Pavarde906   Vardas906   6.12                5.80               
Pavarde909   Vardas909   7.80                8.20               
Pavarde91    Vardas91    7.00                7.00               
Pavarde911   Vardas911   5.36                4.80               
Pavarde912   Vardas912   5.40                5.40               
Pavarde913   Vardas913   5.52                6.00               
Pavarde914   Vardas914   5.56                6.20               
Pavarde916   Vardas916   7.32                7.00               
Pavarde918   Vardas918   8.24                7.60               
Pavarde919   Vardas919   7.48                7.80               
Pavarde920   Vardas920   6.80                6.40               
Pavarde923   Vardas923   6.08                6.00               
Pavarde930   Vardas930   7.88                7.80               
Pavarde931   Vardas931   7.44                8.80               
Pavarde939   Vardas939   7.16                7.40               
Pavarde942   Vardas942   8.00                8.00               
Pavarde944   Vardas944   7.36                7.20               
Pavarde946   Vardas946   6.04                5.80               
Pavarde95    Vardas95    5.52                6.00               
Pavarde951   Vardas951   7.56                7.80               
Pavarde953   Vardas953   7.16                8.20               
Pavarde954   Vardas954   7.04                7.20               
Pavarde959   Vardas959   6.28                5.80               
Pavarde96    Vardas96    7.56                7.40               
Pavarde960   Vardas960   5.68                6.40               
Pavarde961   Vardas961   5.80                5.40               
Pavarde962   Vardas962   8.80                8.80               
Pavarde963   Vardas963   7.92                7.60               
Pavarde964   Vardas964   6.44                7.00               
Pavarde965   Vardas965   6.44                6.60               
Pavarde966   Vardas966   6.12                6.60               
Pavarde967   Vardas967   5.04                4.80               
Pavarde968   Vardas968   8.08                8.80               
Pavarde969   Vardas969   7.48                7.80               
Pavarde97    Vardas97    7.48                7.00               
Pavarde970   Vardas970   7.04                7.20               
Pavarde971   Vardas971   6.76                7.00               
Pavarde974   Vardas974   7.36                7.60               
Pavarde976   Vardas976   8.28                8.60               
Pavarde979   Vardas979   5.84                6.00               
Pavarde98    Vardas98    6.12                6.20               
Pavarde980   Vardas980   5.12                5.20               
Pavarde981   Vardas981   5.76                5.60               
Pavarde983   Vardas983   5.88                6.60               
Pavarde984   Vardas984   5.00                5.40               
Pavarde985   Vardas985   7.40                7.80               
Pavarde986   Vardas986   6.84                6.60               
Pavarde99    Vardas99    6.52                5.80               
Pavarde992   Vardas992   9.20                9.60               
Pavarde993   Vardas993   7.44                8.00               
Pavarde994   Vardas994   7.44                7.20               
Pavarde997   Vardas997   7.84                7.20               
Pavarde998   Vardas998   8.96                9.60               

Vargseliai : 

Pavarde1     Vardas1     4.76                5.00               
Pavarde10    Vardas10    3.84                4.00               
Pavarde100   Vardas100   3.52                3.60               
Pavarde102   Vardas102   4.00                4.00               
Pavarde106   Vardas106   1.96                1.80               
Pavarde109   Vardas109   2.36                1.80               
Pavarde118   Vardas118   4.92                4.60               
Pavarde12    Vardas12    4.40                4.80               
Pavarde122   Vardas122   3.60                3.60               
Pavarde123   Vardas123   4.92                4.20               
Pavarde124   Vardas124   4.24                4.00               
Pavarde126   Vardas126   3.24                3.40               
Pavarde127   Vardas127   4.80                5.60               
Pavarde129   Vardas129   3.64                3.40               
Pavarde130   Vardas130   2.48                2.40               
Pavarde131   Vardas131   4.52                5.40               
Pavarde132   Vardas132   2.60                2.60               
Pavarde134   Vardas134   4.40                3.60               
Pavarde135   Vardas135   4.24                4.40               
Pavarde136   Vardas136   2.36                1.80               
Pavarde138   Vardas138   3.64                3.80               
Pavarde139   Vardas139   3.52                3.20               
Pavarde144   Vardas144   3.20                2.80               
Pavarde147   Vardas147   3.40                3.40               
Pavarde149   Vardas149   2.36                1.80               
Pavarde152   Vardas152   3.64                4.20               
Pavarde156   Vardas156   2.92                3.80               
Pavarde157   Vardas157   4.36                4.20               
Pavarde161   Vardas161   2.56                2.40               
Pavarde162   Vardas162   4.64                4.80               
Pavarde163   Vardas163   4.80                4.80               
Pavarde173   Vardas173   3.64                4.20               
Pavarde174   Vardas174   4.92                4.20               
Pavarde177   Vardas177   4.96                4.80               
Pavarde18    Vardas18    4.08                4.00               
Pavarde180   Vardas180   3.40                3.00               
Pavarde181   Vardas181   3.16                3.00               
Pavarde182   Vardas182   4.56                4.00               
Pavarde183   Vardas183   2.88                2.40               
Pavarde184   Vardas184   4.56                4.80               
Pavarde185   Vardas185   3.36                3.20               
Pavarde187   Vardas187   4.76                4.60               
Pavarde188   Vardas188   4.24                4.80               
Pavarde19    Vardas19    1.96                1.80               
